id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,3,54,134776
1,0,0,0,3,54,52080
2,2,0,0,3,54,94120
3,0,0,0,3,54,59856
4,2,0,1,4,16,279600
5,2,0,0,3,54,55936
6,0,0,0,3,58,84400
7,2,0,0,3,54,55936
8,2,0,1,4,16,281760
9,0,0,1,8,68,237120
10,2,0,1,4,16,234912
11,0,0,1,8,68,233920
12,2,0,1,4,16,234240
13,0,1,0,4,64,184320
14,0,0,1,12,76,223360
15,2,0,1,4,16,233520
16,0,0,0,3,58,84400
17,0,1,0,36,172,202456
18,2,0,0,3,54,94120
19,0,0,0,3,54,52080
20,2,0,1,4,16,188832
21,2,0,0,3,54,134776
22,0,0,0,3,62,15696
23,2,0,0,3,54,94120
24,0,0,0,3,54,59856
25,0,0,0,3,62,15696
26,0,0,0,3,54,59856
27,0,0,0,3,62,15696
28,2,0,1,4,16,143520
29,2,0,0,3,54,134776
30,0,0,0,3,54,52080
31,2,0,0,3,54,55936
32,2,0,1,4,16,188160
33,2,0,0,3,54,55936
34,2,0,0,3,54,94240
35,0,0,1,8,68,227200
36,0,0,0,3,54,52080
37,0,0,0,3,58,84400
38,2,0,0,3,54,94240
39,2,0,0,3,54,134776
40,0,0,0,3,62,15696
41,2,0,0,3,54,94120
42,0,0,0,3,54,59856
43,0,0,0,3,58,84400
44,2,0,0,3,54,94240
45,2,0,0,3,54,94240
