id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,38,14912
1,2,0,0,3,40,20136
2,2,0,0,3,40,30216
3,2,0,0,2,38,14912
4,2,0,1,1,6,23704
5,2,0,0,4,48,16776
6,2,0,0,2,13,9088
7,0,0,0,2,28,4704
8,2,0,1,5,45,40064
9,2,0,1,1,28,26792
10,2,0,1,5,45,37504
11,2,0,0,3,46,15496
12,0,1,0,1,6,0
13,0,0,1,3,58,34040
14,0,1,0,13,76,63864
15,0,0,1,2,16,18248
16,2,0,0,4,45,53592
17,2,0,0,2,13,9408
18,0,0,1,5,43,30384
19,2,0,1,2,30,21336
20,0,0,1,1,16,13600
21,2,0,1,2,30,23896
22,2,0,0,3,46,21416
23,2,0,0,4,45,50392
24,2,0,0,4,48,26376
25,0,0,1,5,43,32064
