id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.99407e+09,5.08056e+09,44352,44960,1
1,1.01574e+09,4.10224e+09,31584,32160,1
2,1.20422e+07,1.01206e+10,4704,2560,3
3,3.04886e+09,8.1265e+09,54600,55840,1
4,1.99407e+09,7.15591e+09,44352,44960,1
5,6.02112e+06,9.14396e+09,4704,1280,0
6,1.35475e+07,4.10103e+09,4704,2880,3
7,1.35475e+07,1.22302e+10,4704,2880,3
8,6.02112e+06,5.0926e+09,4704,1280,0
9,7.5264e+06,1.95686e+07,4704,1600,3
10,1.20422e+07,1.02108e+10,4704,2560,3
11,6.02112e+06,7.14989e+09,4704,1280,0
12,1.99407e+09,7.15591e+09,44352,44960,1
13,6.02112e+06,9.14396e+09,4704,1280,0
14,7.5264e+06,8.08916e+09,4704,1600,3
15,1.20422e+07,1.62184e+10,4704,2560,3
16,3.04886e+09,8.1265e+09,54600,55840,1
17,6.02112e+06,7.14989e+09,4704,1280,0
18,1.99407e+09,5.08056e+09,44352,44960,1
19,1.80634e+07,1.02108e+10,7056,2560,3
20,1.01574e+09,4.10224e+09,31584,32160,1
21,6.02112e+06,5.0926e+09,4704,1280,0
