id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,38,2560
1,0,0,0,6,57,28704
2,0,0,1,1,32,14488
3,0,0,0,4,51,14944
4,0,0,0,4,51,23264
5,0,0,0,5,57,13440
6,0,0,0,3,41,32896
7,2,0,1,1,29,18856
8,0,0,1,4,48,19736
9,0,0,0,4,51,9824
10,0,0,0,3,59,10144
11,0,1,0,15,99,42016
12,0,0,0,3,59,15648
13,2,0,0,2,27,5184
14,0,0,0,3,41,29568
15,0,0,1,1,20,9576
16,0,0,0,3,37,18784
17,2,0,0,2,36,5504
18,0,0,0,4,51,23264
19,0,1,0,21,119,48864
20,0,0,1,2,33,14448
21,0,0,1,2,34,23872
22,0,0,0,2,31,9304
23,0,0,0,5,57,10144
24,2,0,0,2,27,5184
25,0,0,0,5,60,32864
26,2,0,1,1,29,16128
27,0,0,0,2,38,2560
28,2,0,0,2,36,5504
29,0,0,0,6,58,12704
30,0,0,1,1,26,9048
31,0,0,0,4,58,24320
