id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.58054e+07,1.83644e+08,7056,2240,3
1,1.0537e+07,1.79128e+08,4704,2240,0
2,1.58054e+07,1.60312e+08,7056,2240,3
3,2.03213e+07,1.38486e+08,7056,2880,0
4,1.65581e+07,1.60312e+08,4704,3520,3
5,1.12896e+07,1.79128e+08,7056,1600,1
6,1.0537e+07,1.49023e+08,4704,2240,0
7,2.10739e+07,1.98697e+08,9408,2240,0
8,2.10739e+07,1.6257e+08,9408,2240,0
9,1.0537e+07,2.05471e+08,4704,2240,0
10,1.0537e+07,2.05471e+08,4704,2240,0
11,1.0537e+07,1.78376e+08,4704,2240,3
12,2.25792e+07,1.94181e+08,4704,4800,3
13,1.12896e+07,1.78376e+08,7056,1600,1
14,2.25792e+07,1.94181e+08,4704,4800,3
15,1.0537e+07,1.73107e+08,4704,2240,3
16,2.25792e+07,1.17412e+08,4704,4800,3
17,1.58054e+07,1.6257e+08,7056,2240,3
