id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,40,13840
1,2,0,1,3,48,45968
2,2,0,0,2,30,2240
3,2,0,1,5,65,64000
4,0,0,0,2,19,24800
5,0,0,0,6,39,109400
6,0,0,1,2,38,31416
7,2,0,0,5,68,88632
8,2,0,1,5,65,72152
9,2,0,0,5,68,98552
10,0,0,0,6,68,109472
11,0,0,0,2,23,44192
12,2,0,0,2,40,13840
13,0,0,0,5,53,82728
14,0,0,0,2,32,26936
15,0,0,0,2,39,36488
16,0,0,1,4,50,92584
17,0,0,0,3,41,79328
18,0,1,0,11,76,147000
19,0,0,0,5,36,46208
20,0,0,0,2,28,55216
21,2,0,0,3,42,38784
22,0,0,0,5,28,104440
23,2,0,0,2,39,55064
24,0,0,0,2,23,10984
25,2,0,0,2,39,55064
26,0,0,0,5,48,52000
27,2,0,1,3,48,42448
28,0,0,0,2,34,51648
29,0,0,0,2,28,23496
30,0,1,0,16,106,131400
31,2,0,0,3,42,32544
32,0,0,0,2,42,24664
33,2,0,0,2,36,3520
34,0,0,0,4,47,49632
