id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,3,54,94120
1,0,0,0,3,54,59856
2,0,0,0,3,54,52080
3,0,0,0,3,62,15696
4,2,0,0,3,54,94240
5,2,0,0,3,54,134776
6,0,0,0,3,54,59856
7,2,0,0,3,54,55936
8,0,0,0,3,58,84400
9,2,0,0,3,54,94240
10,2,0,0,3,54,55936
11,0,0,0,3,54,52080
12,2,0,1,4,16,234912
13,2,0,1,4,16,188160
14,0,0,0,3,54,52080
15,0,0,0,3,54,52080
16,0,0,1,8,68,237120
17,2,0,0,3,54,55936
18,0,0,0,3,58,84400
19,2,0,0,3,54,134776
20,2,0,0,3,54,94120
21,2,0,1,4,16,279600
22,2,0,0,3,54,94120
23,0,0,1,8,68,227200
24,0,0,1,8,68,233920
25,0,1,0,4,64,184320
26,2,0,0,3,54,134776
27,0,0,0,3,54,59856
28,2,0,1,4,16,188832
29,2,0,0,3,54,134776
30,2,0,1,4,16,234240
31,2,0,0,3,54,94240
32,0,0,0,3,62,15696
33,0,0,0,3,58,84400
34,2,0,1,4,16,143520
35,2,0,0,3,54,94120
36,0,0,0,3,54,59856
37,0,0,0,3,62,15696
38,0,0,1,12,76,223360
39,2,0,1,4,16,281760
40,2,0,0,3,54,94240
41,0,0,0,3,62,15696
42,2,0,1,4,16,233520
43,2,0,0,3,54,55936
44,0,1,0,36,172,202456
45,0,0,0,3,58,84400
