id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,28,3520
1,0,0,0,5,57,69592
2,0,0,1,2,33,27256
3,2,0,0,2,24,2240
4,0,0,1,3,39,37848
5,0,0,0,5,25,34352
6,0,0,0,2,32,11760
7,0,0,0,3,27,10472
8,0,0,0,2,29,11728
9,0,1,0,6,45,62904
10,0,0,0,5,31,48248
11,0,0,0,2,31,22736
12,0,0,0,4,43,25760
13,0,0,0,3,28,32048
14,0,0,0,2,12,3520
15,0,0,0,2,31,27240
16,0,0,1,2,33,28944
17,0,0,0,2,29,11728
18,0,0,0,2,33,25056
19,0,0,1,2,33,30456
20,0,0,0,5,57,75672
21,0,1,0,12,77,63192
22,0,0,1,5,52,47640
23,0,0,0,5,36,41016
24,0,0,1,5,52,36640
25,0,0,0,2,32,11760
26,0,0,0,2,33,17984
