id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,4.8169e+07,6.9845e+08,9408,5120,3
1,7.90272e+07,7.45114e+08,7056,11200,3
2,1.35475e+07,3.70299e+08,4704,2880,0
3,7.22534e+07,6.9845e+08,4704,15360,3
4,1.35475e+07,3.70299e+08,4704,2880,0
5,7.22534e+07,6.9845e+08,4704,15360,3
6,4.8169e+07,5.58459e+08,4704,10240,3
7,7.90272e+07,7.45114e+08,7056,11200,3
8,6.02112e+06,5.6448e+08,4704,1280,0
9,2.25792e+07,5.52438e+08,4704,4800,0
10,6.02112e+06,6.12649e+08,4704,1280,0
11,6.02112e+06,3.82341e+08,4704,1280,0
12,6.02112e+06,3.88362e+08,4704,1280,0
13,1.35475e+07,8.8962e+08,4704,2880,0
14,6.02112e+06,7.15008e+08,4704,1280,0
15,1.35475e+07,3.70299e+08,4704,2880,0
16,6.02112e+06,4.3051e+08,4704,1280,0
17,2.25792e+07,5.52438e+08,4704,4800,0
18,2.25792e+07,5.52438e+08,4704,4800,0
19,9.03168e+06,8.8962e+08,4704,1920,0
20,1.35475e+07,3.70299e+08,4704,2880,0
21,1.35475e+07,3.70299e+08,4704,2880,0
22,7.90272e+07,7.45114e+08,7056,11200,3
23,7.90272e+07,7.45114e+08,7056,11200,3
24,1.35475e+07,3.70299e+08,4704,2880,0
25,6.02112e+06,3.88362e+08,4704,1280,0
26,6.02112e+06,7.08987e+08,4704,1280,0
27,1.0537e+07,8.8962e+08,4704,2240,0
28,6.02112e+06,3.92878e+08,4704,1280,0
29,1.0537e+07,5.58459e+08,4704,2240,0
30,4.06426e+07,5.52438e+08,4704,8640,3
31,6.02112e+06,5.6448e+08,4704,1280,0
32,1.35475e+07,3.70299e+08,4704,2880,0
33,6.02112e+06,3.82341e+08,4704,1280,0
34,6.02112e+06,6.1867e+08,4704,1280,0
35,1.35475e+07,3.70299e+08,4704,2880,0
