0,2
0,0
1,38
1,14
2,48
2,54
3,34
3,47
4,34
4,21
4,44
5,43
5,42
6,13
6,6
6,16
6,36
8,38
8,55
8,39
9,37
9,41
11,30
11,29
12,28
12,23
12,19
12,40
12,18
12,27
12,51
12,7
12,16
12,32
12,33
12,37
12,43
12,21
12,44
12,46
12,49
12,50
12,45
12,55
12,39
12,4
12,5
12,1
12,30
13,28
13,31
14,13
14,36
15,46
15,24
16,40
16,12
17,31
17,26
17,22
17,12
17,20
17,17
17,11
17,9
17,6
17,41
17,42
17,24
17,47
17,52
17,54
17,3
17,14
17,29
17,0
19,2
19,5
19,1
20,15
20,9
20,33
20,35
21,48
21,49
21,50
22,15
22,35
23,4
23,3
24,45
24,52
25,10
25,11
25,8
25,7
26,19
26,22
27,18
27,20
29,53
29,25
30,23
30,26
31,53
31,25
31,51
31,6
32,10
32,11
32,8
32,32
33,27
33,17
