id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,46,4704
1,0,0,0,5,77,9824
2,0,0,0,2,46,4704
3,0,0,0,5,77,9824
4,0,0,0,2,46,4704
5,0,0,0,4,68,7264
6,0,0,0,4,70,7264
7,0,0,0,4,72,7264
8,0,0,0,6,102,10560
9,0,0,0,4,68,7264
10,0,0,0,4,91,5440
11,2,0,0,4,86,40224
12,2,0,0,4,71,23040
13,2,0,0,4,71,10240
14,0,0,0,5,77,9824
15,2,0,0,4,71,16224
16,0,1,0,27,154,81504
17,0,1,0,29,148,85344
18,2,0,1,1,46,31208
19,0,0,0,4,86,7680
20,2,0,0,4,84,25824
21,2,0,1,2,63,8232
22,2,0,1,1,38,26088
23,2,0,0,4,71,8544
24,0,0,0,6,102,24544
25,0,0,1,8,120,61288
26,0,0,0,8,108,46944
27,0,0,1,8,120,40320
28,0,0,0,6,107,6720
29,2,0,1,2,63,38072
30,2,0,1,2,63,11104
31,2,0,1,2,63,38072
32,0,0,0,5,77,9824
33,0,0,0,2,46,4704
