1,0
8,0
2,1
1,1
22,1
5,2
3,2
7,3
5,3
40,3
10,4
46,4
13,5
11,5
38,6
37,6
23,7
16,7
44,8
15,8
49,8
52,8
28,9
24,9
25,10
45,10
50,10
51,10
29,11
30,11
14,12
34,12
21,13
20,13
54,14
10,14
9,14
42,15
55,15
35,16
33,16
20,16
24,16
18,16
16,16
34,16
37,16
15,16
47,16
50,16
55,16
11,16
43,16
46,16
4,16
3,16
12,16
8,16
27,17
17,17
48,17
21,17
28,17
19,17
23,17
14,17
38,17
41,17
45,17
32,17
52,17
53,17
42,17
13,17
54,17
9,17
36,17
7,17
40,17
6,17
2,17
22,17
0,17
26,19
39,19
41,19
47,19
26,20
39,20
0,21
12,21
19,23
18,23
44,24
49,24
25,26
32,26
50,26
51,26
29,28
15,28
30,28
53,28
36,29
43,29
48,30
35,30
6,31
4,31
27,32
31,32
17,32
31,33
33,33
