id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.50528e+07,2.03213e+08,11760,1280,0
1,1.50528e+07,2.03213e+08,11760,1280,0
2,1.50528e+07,1.73107e+08,11760,1280,0
3,1.50528e+07,1.73107e+08,11760,1280,0
4,1.50528e+07,1.8816e+08,11760,1280,0
5,1.50528e+07,1.73107e+08,11760,1280,0
6,1.50528e+07,1.9945e+08,11760,1280,0
7,1.50528e+07,2.03213e+08,11760,1280,0
8,1.50528e+07,1.73107e+08,11760,1280,0
9,1.8816e+07,2.18266e+08,11760,1600,3
10,1.50528e+07,2.18266e+08,11760,1280,0
11,1.50528e+07,2.03213e+08,11760,1280,0
12,1.50528e+07,2.14502e+08,11760,1280,0
13,1.8816e+07,2.03213e+08,11760,1600,3
14,1.50528e+07,1.95686e+08,11760,1280,0
15,1.50528e+07,1.9945e+08,11760,1280,0
