id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,40,6464
1,2,0,1,3,48,26016
2,2,0,0,2,30,1280
3,2,0,1,5,65,82752
4,0,0,0,2,19,11560
5,0,0,0,6,39,75448
6,0,0,1,2,38,32824
7,2,0,0,5,68,67480
8,2,0,1,5,65,75072
9,2,0,0,5,68,70680
10,0,0,0,6,68,59576
11,0,0,0,2,23,7664
12,2,0,0,2,40,6464
13,0,0,0,5,53,33064
14,0,0,0,2,32,11528
15,0,0,0,2,39,41040
16,0,0,1,4,50,60168
17,0,0,0,3,41,9072
18,0,1,0,11,76,66936
19,0,0,0,5,36,24632
20,0,0,0,2,28,7280
21,2,0,0,3,42,16496
22,0,0,0,5,28,74200
23,2,0,0,2,39,38112
24,0,0,0,2,23,16864
25,2,0,0,2,39,38112
26,0,0,0,5,48,27104
27,2,0,1,3,48,26336
28,0,0,0,2,34,36456
29,0,0,0,2,28,7896
30,0,1,0,16,106,84728
31,2,0,0,3,42,16176
32,0,0,0,2,42,12128
33,2,0,0,2,36,1600
34,0,0,0,4,47,33464
