id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,46,4704
1,0,0,0,5,77,11104
2,0,0,0,2,46,4704
3,0,0,0,5,77,11104
4,0,0,0,2,46,4704
5,0,0,0,4,68,7904
6,0,0,0,4,70,7904
7,0,0,0,4,72,7904
8,0,0,0,6,102,10560
9,0,0,0,4,68,7904
10,0,0,0,4,91,5440
11,2,0,0,4,86,40224
12,2,0,0,4,71,61344
13,2,0,0,4,71,58144
14,0,0,0,5,77,11104
15,2,0,0,4,71,71040
16,0,1,0,27,154,91744
17,0,1,0,29,148,93344
18,2,0,1,1,46,23056
19,0,0,0,4,86,7680
20,2,0,0,4,84,26464
21,2,0,1,2,63,44536
22,2,0,1,1,38,28176
23,2,0,0,4,71,61440
24,0,0,0,6,102,24544
25,0,0,1,8,120,42880
26,0,0,0,8,108,46944
27,0,0,1,8,120,70632
28,0,0,0,6,107,6720
29,2,0,1,2,63,13816
30,2,0,1,2,63,44536
31,2,0,1,2,63,7904
32,0,0,0,5,77,11104
33,0,0,0,2,46,4704
