0,1
0,8
1,2
1,1
1,22
2,5
2,3
3,7
3,5
3,40
4,10
4,46
5,13
5,11
6,38
6,37
7,23
7,16
8,44
8,15
8,49
8,52
9,28
9,24
10,25
10,45
10,50
10,51
11,29
11,30
12,14
12,34
13,21
13,20
14,54
14,10
14,9
15,42
15,55
16,35
16,33
16,20
16,24
16,18
16,16
16,34
16,37
16,15
16,47
16,50
16,55
16,11
16,43
16,46
16,4
16,3
16,12
16,8
17,27
17,17
17,48
17,21
17,28
17,19
17,23
17,14
17,38
17,41
17,45
17,32
17,52
17,53
17,42
17,13
17,54
17,9
17,36
17,7
17,40
17,6
17,2
17,22
17,0
19,26
19,39
19,41
19,47
20,26
20,39
21,0
21,12
23,19
23,18
24,44
24,49
26,25
26,32
26,50
26,51
28,29
28,15
28,30
28,53
29,36
29,43
30,48
30,35
31,6
31,4
32,27
32,31
32,17
33,31
33,33
