id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,3.38688e+07,2.75466e+08,7056,4800,3
1,2.03213e+07,2.75466e+08,7056,2880,0
2,2.03213e+07,2.75466e+08,7056,2880,0
3,2.48371e+07,3.06916e+08,7056,3520,3
4,2.48371e+07,3.06916e+08,7056,3520,3
5,2.03213e+07,2.75466e+08,7056,2880,0
6,2.03213e+07,2.75466e+08,7056,2880,0
7,2.48371e+07,3.06916e+08,7056,3520,3
8,1.57248e+07,1.30798e+08,6552,2400,2
9,2.03213e+07,2.75466e+08,7056,2880,0
10,2.03213e+07,2.75466e+08,7056,2880,0
11,2.03213e+07,2.75466e+08,7056,2880,0
12,1.57248e+07,1.30798e+08,6552,2400,2
13,2.48371e+07,3.06916e+08,7056,3520,3
