id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,28,1600
1,0,0,0,5,57,23712
2,0,0,1,2,33,17792
3,2,0,0,2,24,2240
4,0,0,1,3,39,30192
5,0,0,0,5,25,20800
6,0,0,0,2,32,12904
7,0,0,0,3,27,13824
8,0,0,0,2,29,9472
9,0,1,0,6,45,49496
10,0,0,0,5,31,29552
11,0,0,0,2,31,3520
12,0,0,0,4,43,15216
13,0,0,0,3,28,15392
14,0,0,0,2,12,1600
15,0,0,0,2,31,16656
16,0,0,1,2,33,12344
17,0,0,0,2,29,9472
18,0,0,0,2,33,14568
19,0,0,1,2,33,17792
20,0,0,0,5,57,28176
21,0,1,0,12,77,35632
22,0,0,1,5,52,28376
23,0,0,0,5,36,18752
24,0,0,1,5,52,38704
25,0,0,0,2,32,12904
26,0,0,0,2,33,15848
