id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,13,9728
1,2,0,0,2,13,10048
2,0,0,0,2,28,4704
3,2,0,0,2,38,14272
4,2,0,0,4,53,128176
5,0,0,1,5,43,25160
6,2,0,1,2,30,64880
7,2,0,0,2,38,14272
8,2,0,1,1,6,91280
9,2,0,1,2,30,62320
10,2,0,1,5,49,131072
11,0,0,1,3,58,81584
12,0,0,1,5,43,25160
13,2,0,1,5,49,128512
14,0,1,0,1,6,0
15,2,0,0,3,40,39432
16,2,0,0,3,40,29352
17,0,1,0,13,76,92256
18,2,0,1,1,28,108184
19,0,0,1,2,16,58560
20,2,0,0,3,50,61984
21,2,0,0,4,53,95376
22,2,0,0,4,48,128176
23,2,0,0,3,50,8704
24,2,0,0,4,48,86576
25,0,0,1,1,16,24144
