id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,28,4704
1,2,0,0,2,13,10048
2,2,0,1,2,30,91424
3,2,0,0,3,50,58600
4,2,0,0,4,48,119104
5,2,0,0,2,38,14272
6,0,0,1,5,43,81440
7,0,1,0,13,76,80576
8,2,0,0,3,50,111880
9,2,0,1,2,30,88864
10,2,0,0,2,13,9728
11,0,1,0,1,6,0
12,2,0,0,4,53,152872
13,2,0,0,4,53,99592
14,2,0,1,5,49,133216
15,0,0,1,2,16,58560
16,2,0,0,3,40,6784
17,2,0,0,3,40,36864
18,2,0,1,5,49,135776
19,0,0,1,5,43,81440
20,2,0,1,1,28,82648
21,0,0,1,1,16,58080
22,2,0,1,1,6,84896
23,2,0,0,4,48,96704
24,0,0,1,3,58,73856
25,2,0,0,2,38,14272
