id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.0537e+07,5.88564e+08,4704,2240,0
1,1.0537e+07,4.18468e+08,4704,2240,0
2,1.0537e+07,5.88564e+08,4704,2240,0
3,5.26848e+07,4.29005e+08,4704,11200,3
4,2.89014e+08,6.3297e+08,7056,40960,3
5,1.12896e+07,6.11896e+08,7056,1600,0
6,1.12896e+07,4.71153e+08,7056,1600,0
7,1.12896e+07,4.71153e+08,7056,1600,0
8,1.51281e+08,5.36632e+08,7056,21440,3
9,1.0537e+07,4.18468e+08,4704,2240,0
10,1.12896e+07,6.11896e+08,7056,1600,0
11,5.26848e+07,5.59212e+08,4704,11200,0
