id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,44,52288
1,0,0,0,7,63,61976
2,2,0,0,2,29,14912
3,0,0,0,7,46,51544
4,0,0,0,5,62,72488
5,0,0,0,3,34,41208
6,0,1,0,9,61,80168
7,0,0,0,4,30,60128
8,0,0,0,3,47,32512
9,0,1,0,14,87,87768
10,2,0,0,2,29,14912
11,0,0,0,3,26,22440
12,0,0,0,3,33,51824
13,0,0,1,6,61,83384
14,0,0,1,1,21,16464
15,2,0,0,2,34,9776
16,2,0,0,2,34,9776
17,0,0,1,2,37,42296
18,0,0,0,3,45,39960
19,0,0,0,5,60,69248
20,2,0,1,1,22,23616
21,0,0,0,2,34,52664
22,0,0,0,2,29,5936
23,2,0,1,1,22,8728
24,0,0,0,5,63,88608
25,0,0,1,6,61,67384
