id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,38,2560
1,0,0,0,5,57,8864
2,0,0,0,5,57,8544
3,0,0,0,6,57,24864
4,0,0,0,4,51,7264
5,0,0,0,3,59,16928
6,0,1,0,15,99,39296
7,0,0,0,3,37,37728
8,2,0,0,2,36,5504
9,0,0,0,4,51,9824
10,2,0,0,2,27,5184
11,0,0,0,2,31,10848
12,0,0,1,2,33,19264
13,0,0,0,6,58,18144
14,0,0,0,3,41,49952
15,0,0,0,3,41,33312
16,0,0,0,4,51,7264
17,0,1,0,21,119,45056
18,0,0,0,3,59,14528
19,2,0,1,1,29,18856
20,2,0,0,2,36,5504
21,0,0,1,2,34,9656
22,0,0,0,5,60,38400
23,0,0,0,2,38,2560
24,2,0,1,1,29,27648
25,0,0,1,1,32,10688
26,0,0,0,4,51,7264
27,0,0,1,1,20,12456
28,0,0,1,4,48,28064
29,2,0,0,2,27,5184
30,0,0,1,1,26,11928
31,0,0,0,4,58,33280
