id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,44,38072
1,0,0,0,7,63,41240
2,2,0,0,2,29,9984
3,0,0,0,7,46,21136
4,0,0,0,5,62,53264
5,0,0,0,3,34,24792
6,0,1,0,9,61,53480
7,0,0,0,4,30,21752
8,0,0,0,3,47,27488
9,0,1,0,14,87,49472
10,2,0,0,2,29,9984
11,0,0,0,3,26,38536
12,0,0,0,3,33,13616
13,0,0,1,6,61,44712
14,0,0,1,1,21,13232
15,2,0,0,2,34,14912
16,2,0,0,2,34,14912
17,0,0,1,2,37,34680
18,0,0,0,3,45,9168
19,0,0,0,5,60,51480
20,2,0,1,1,22,2016
21,0,0,0,2,34,27616
22,0,0,0,2,29,19960
23,2,0,1,1,22,37528
24,0,0,0,5,63,27896
25,0,0,1,6,61,45312
