id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.8816e+07,2.8067e+09,11760,1600,0
1,1.58054e+07,4.89689e+09,7056,2240,0
2,1.65581e+07,4.89689e+09,4704,3520,0
3,2.09019e+09,8.39538e+09,45360,46080,1
4,2.09019e+09,8.40215e+09,45360,46080,1
5,2.09019e+09,8.4029e+09,45360,46080,1
6,2.63424e+07,4.89689e+09,11760,2240,3
7,2.63424e+07,4.89689e+09,11760,2240,3
8,2.48371e+07,4.89689e+09,7056,3520,3
9,2.09019e+09,8.4029e+09,45360,46080,1
10,2.09019e+09,8.40215e+09,45360,46080,1
11,1.8816e+07,4.89689e+09,11760,1600,0
12,1.58054e+07,2.8067e+09,7056,2240,0
13,2.09019e+09,8.4029e+09,45360,46080,1
14,2.09019e+09,8.4029e+09,45360,46080,1
15,2.09019e+09,8.4029e+09,45360,46080,1
16,2.63424e+07,4.89689e+09,11760,2240,3
17,2.09019e+09,8.4029e+09,45360,46080,1
18,2.63424e+07,4.89689e+09,11760,2240,3
19,1.58054e+07,4.89689e+09,7056,2240,0
20,1.58054e+07,4.89689e+09,7056,2240,0
21,1.58054e+07,4.89689e+09,7056,2240,0
22,2.09019e+09,8.39839e+09,45360,46080,1
23,1.8816e+07,2.8067e+09,11760,1600,0
24,2.09019e+09,8.4029e+09,45360,46080,1
25,2.09019e+09,8.4029e+09,45360,46080,1
26,1.58054e+07,2.8067e+09,7056,2240,0
27,1.58054e+07,4.89689e+09,7056,2240,0
28,1.8816e+07,2.8067e+09,11760,1600,0
29,2.09019e+09,8.4029e+09,45360,46080,1
30,2.09019e+09,8.4029e+09,45360,46080,1
31,1.8816e+07,4.89689e+09,11760,1600,0
32,2.63424e+07,4.89689e+09,11760,2240,3
33,2.09019e+09,8.39538e+09,45360,46080,1
34,2.09019e+09,8.4029e+09,45360,46080,1
35,1.65581e+07,4.89689e+09,4704,3520,0
36,2.63424e+07,4.89689e+09,11760,2240,3
37,2.09019e+09,8.40215e+09,45360,46080,1
38,1.58054e+07,4.89689e+09,7056,2240,0
39,2.09019e+09,8.4029e+09,45360,46080,1
40,2.48371e+07,4.89689e+09,7056,3520,3
41,2.09019e+09,8.39839e+09,45360,46080,1
42,2.09019e+09,8.39538e+09,45360,46080,1
43,1.8816e+07,4.89689e+09,11760,1600,0
44,1.58054e+07,2.8067e+09,7056,2240,0
45,2.09019e+09,8.39538e+09,45360,46080,1
46,2.09019e+09,8.39839e+09,45360,46080,1
47,1.58054e+07,4.89689e+09,7056,2240,0
48,1.65581e+07,4.89689e+09,4704,3520,0
49,2.09019e+09,8.40215e+09,45360,46080,1
50,2.63424e+07,4.89689e+09,11760,2240,3
51,2.09019e+09,8.40215e+09,45360,46080,1
52,2.63424e+07,4.89689e+09,11760,2240,3
53,2.48371e+07,4.89689e+09,7056,3520,3
54,1.8816e+07,2.8067e+09,11760,1600,0
55,2.09019e+09,8.39839e+09,45360,46080,1
56,2.09019e+09,8.4029e+09,45360,46080,1
57,2.09019e+09,8.40215e+09,45360,46080,1
58,2.09019e+09,8.4029e+09,45360,46080,1
59,1.58054e+07,4.89689e+09,7056,2240,0
60,2.09019e+09,8.40215e+09,45360,46080,1
61,1.65581e+07,4.89689e+09,4704,3520,0
62,2.09019e+09,8.4029e+09,45360,46080,1
63,1.58054e+07,2.8067e+09,7056,2240,0
64,2.09019e+09,8.4029e+09,45360,46080,1
65,1.8816e+07,4.89689e+09,11760,1600,0
66,2.48371e+07,4.89689e+09,7056,3520,3
67,2.09019e+09,8.40215e+09,45360,46080,1
