id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,3,54,49840
1,0,0,0,3,54,8224
2,2,0,0,3,54,60080
3,0,0,0,3,54,91440
4,2,0,1,4,16,279744
5,2,0,0,3,54,16240
6,0,0,0,3,58,14808
7,2,0,0,3,54,16240
8,2,0,1,4,16,195664
9,0,0,1,8,68,335600
10,2,0,1,4,16,235056
11,0,0,1,8,68,261520
12,2,0,1,4,16,234384
13,0,1,0,4,64,198720
14,0,0,1,12,76,336232
15,2,0,1,4,16,223744
16,0,0,0,3,58,14808
17,0,1,0,36,172,352240
18,2,0,0,3,54,60080
19,0,0,0,3,54,8224
20,2,0,1,4,16,232720
21,2,0,0,3,54,49840
22,0,0,0,3,62,86232
23,2,0,0,3,54,60080
24,0,0,0,3,54,91440
25,0,0,0,3,62,86232
26,0,0,0,3,54,91440
27,0,0,0,3,62,86232
28,2,0,1,4,16,98976
29,2,0,0,3,54,49840
30,0,0,0,3,54,8224
31,2,0,0,3,54,16240
32,2,0,1,4,16,232720
33,2,0,0,3,54,16240
34,2,0,0,3,54,93680
35,0,0,1,8,68,261520
36,0,0,0,3,54,8224
37,0,0,0,3,58,14808
38,2,0,0,3,54,93680
39,2,0,0,3,54,49840
40,0,0,0,3,62,86232
41,2,0,0,3,54,60080
42,0,0,0,3,54,91440
43,0,0,0,3,58,14808
44,2,0,0,3,54,93680
45,2,0,0,3,54,93680
