id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,2.09019e+09,8.42849e+09,45360,46080,1
1,2.48371e+07,2.36791e+09,7056,3520,0
2,2.09019e+09,8.42849e+09,45360,46080,1
3,2.09019e+09,8.42849e+09,45360,46080,1
4,2.48371e+07,2.36791e+09,7056,3520,0
5,2.63424e+07,4.4581e+09,11760,2240,0
6,2.48371e+07,4.4581e+09,7056,3520,0
7,2.09019e+09,8.41043e+09,45360,46080,1
8,2.48371e+07,4.4581e+09,7056,3520,0
9,2.09019e+09,8.41043e+09,45360,46080,1
10,2.09019e+09,8.42849e+09,45360,46080,1
11,4.13952e+07,4.4581e+09,11760,3520,3
12,2.09019e+09,8.42849e+09,45360,46080,1
13,4.29005e+07,4.4581e+09,7056,6080,3
14,2.09019e+09,8.42849e+09,45360,46080,1
15,2.48371e+07,4.4581e+09,7056,3520,0
16,4.29005e+07,4.4581e+09,7056,6080,3
