id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,38,14912
1,2,0,0,3,40,26688
2,2,0,0,3,40,11968
3,2,0,0,2,38,14912
4,2,0,1,1,6,44504
5,2,0,0,4,48,44840
6,2,0,0,2,13,9088
7,0,0,0,2,28,4704
8,2,0,1,5,45,74008
9,2,0,1,1,28,47592
10,2,0,1,5,45,75288
11,2,0,0,3,46,40136
12,0,1,0,1,6,0
13,0,0,1,3,58,38576
14,0,1,0,13,76,54992
15,0,0,1,2,16,25600
16,2,0,0,4,45,36752
17,2,0,0,2,13,9408
18,0,0,1,5,43,41136
19,2,0,1,2,30,35432
20,0,0,1,1,16,26240
21,2,0,1,2,30,37992
22,2,0,0,3,46,30536
23,2,0,0,4,45,50192
24,2,0,0,4,48,35240
25,0,0,1,5,43,41136
