id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,44,22592
1,0,0,0,7,63,55200
2,2,0,0,2,29,14272
3,0,0,0,7,46,59360
4,0,0,0,5,62,37392
5,0,0,0,3,34,54144
6,0,1,0,9,61,59840
7,0,0,0,4,30,34792
8,0,0,0,3,47,28432
9,0,1,0,14,87,66416
10,2,0,0,2,29,14272
11,0,0,0,3,26,28536
12,0,0,0,3,33,58576
13,0,0,1,6,61,60144
14,0,0,1,1,21,9896
15,2,0,0,2,34,14592
16,2,0,0,2,34,14592
17,0,0,1,2,37,26432
18,0,0,0,3,45,29840
19,0,0,0,5,60,54184
20,2,0,1,1,22,12800
21,0,0,0,2,34,8336
22,0,0,0,2,29,40720
23,2,0,1,1,22,26232
24,0,0,0,5,63,53584
25,0,0,1,6,61,53472
