id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,28,5184
1,2,0,0,2,13,11600
2,0,0,1,5,43,66512
3,0,0,1,2,16,34720
4,2,0,0,4,48,31224
5,2,0,0,3,46,29944
6,2,0,1,5,45,93184
7,2,0,1,1,6,57512
8,0,0,1,1,16,35360
9,2,0,0,3,40,70208
10,2,0,1,5,45,95744
11,2,0,0,2,38,16944
12,0,1,0,13,76,154712
13,2,0,0,4,45,121848
14,0,0,1,3,58,82928
15,0,1,0,1,6,0
16,2,0,0,4,48,60824
17,2,0,0,4,45,112888
18,2,0,0,3,46,50104
19,2,0,0,2,13,11600
20,0,0,1,5,43,64832
21,2,0,1,2,30,55784
22,2,0,1,2,30,58344
23,2,0,0,3,40,40128
24,2,0,1,1,28,61880
25,2,0,0,2,38,16944
