id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.0537e+07,1.35475e+08,4704,2240,3
1,1.0537e+07,1.87407e+08,4704,2240,3
2,7.5264e+06,1.60312e+08,4704,1600,1
3,3.61267e+07,2.0246e+08,7056,5120,3
4,7.5264e+06,1.84397e+08,4704,1600,0
5,7.5264e+06,9.63379e+07,4704,1600,0
6,5.19322e+07,1.60312e+08,7056,7360,3
7,7.5264e+06,1.60312e+08,4704,1600,1
8,3.16109e+07,1.70849e+08,16464,1920,0
9,1.65581e+07,1.03864e+08,4704,3520,3
10,7.5264e+06,9.63379e+07,4704,1600,0
11,7.5264e+06,1.84397e+08,4704,1600,0
