id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,65,4240
1,0,0,0,2,62,5824
2,0,0,0,5,69,7424
3,2,0,0,3,65,44960
4,2,0,0,5,85,64256
5,2,0,0,3,65,43360
6,0,0,0,6,85,56448
7,2,0,0,5,85,62176
8,0,0,0,4,63,51744
9,2,0,0,6,102,53344
10,2,0,0,6,102,54304
11,0,0,0,2,47,19024
12,0,0,0,4,47,8944
13,0,1,0,23,152,71152
14,0,0,0,3,79,41912
15,2,0,1,2,51,25864
16,0,0,0,2,62,6144
17,2,0,1,2,64,17640
18,2,0,1,2,51,22184
19,0,1,0,21,149,69472
20,2,0,0,2,40,19616
21,0,0,0,2,43,23088
22,2,0,0,2,40,20896
23,0,0,0,3,48,12144
24,0,0,1,6,82,54304
25,0,0,0,6,90,65856
26,2,0,0,5,72,43520
27,2,0,1,2,64,14288
28,0,0,0,9,75,16224
29,0,0,0,4,68,59872
30,2,0,0,5,72,48000
31,0,0,1,3,59,11424
