id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,65,6304
1,0,0,0,2,62,6840
2,0,0,0,5,69,12928
3,2,0,0,3,65,64528
4,2,0,0,5,85,35232
5,2,0,0,3,65,67408
6,0,0,0,6,85,53344
7,2,0,0,5,85,37312
8,0,0,0,4,63,62576
9,2,0,0,6,102,47248
10,2,0,0,6,102,49648
11,0,0,0,2,47,15648
12,0,0,0,4,47,8992
13,0,1,0,23,152,83424
14,0,0,0,3,79,63392
15,2,0,1,2,51,61896
16,0,0,0,2,62,6304
17,2,0,1,2,64,27096
18,2,0,1,2,51,63656
19,0,1,0,21,149,77968
20,2,0,0,2,40,9616
21,0,0,0,2,43,19392
22,2,0,0,2,40,8656
23,0,0,0,3,48,17040
24,0,0,1,6,82,83424
25,0,0,0,6,90,39984
26,2,0,0,5,72,69488
27,2,0,1,2,64,21344
28,0,0,0,9,75,17824
29,0,0,0,4,68,49888
30,2,0,0,5,72,64848
31,0,0,1,3,59,12864
