id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,3,54,59472
1,0,0,0,3,54,99680
2,2,0,0,3,54,45360
3,0,0,0,3,54,137520
4,2,0,1,4,16,277024
5,2,0,0,3,54,88560
6,0,0,0,3,58,54656
7,2,0,0,3,54,88560
8,2,0,1,4,16,286224
9,0,0,1,8,68,302800
10,2,0,1,4,16,281216
11,0,0,1,8,68,259760
12,2,0,1,4,16,189824
13,0,1,0,4,64,200320
14,0,0,1,12,76,213648
15,2,0,1,4,16,221984
16,0,0,0,3,58,54656
17,0,1,0,36,172,354080
18,2,0,0,3,54,45360
19,0,0,0,3,54,99680
20,2,0,1,4,16,226176
21,2,0,0,3,54,59472
22,0,0,0,3,62,88864
23,2,0,0,3,54,45360
24,0,0,0,3,54,137520
25,0,0,0,3,62,88864
26,0,0,0,3,54,137520
27,0,0,0,3,62,88864
28,2,0,1,4,16,140944
29,2,0,0,3,54,59472
30,0,0,0,3,54,99680
31,2,0,0,3,54,88560
32,2,0,1,4,16,144560
33,2,0,0,3,54,88560
34,2,0,0,3,54,100320
35,0,0,1,8,68,264992
36,0,0,0,3,54,99680
37,0,0,0,3,58,54656
38,2,0,0,3,54,100320
39,2,0,0,3,54,59472
40,0,0,0,3,62,88864
41,2,0,0,3,54,45360
42,0,0,0,3,54,137520
43,0,0,0,3,58,54656
44,2,0,0,3,54,100320
45,2,0,0,3,54,100320
