id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,2.09019e+09,8.42849e+09,45360,46080,1
1,2.09019e+09,8.42699e+09,45360,46080,1
2,2.09019e+09,8.42699e+09,45360,46080,1
3,4.13952e+07,5.29127e+09,11760,3520,3
4,2.48371e+07,5.29127e+09,7056,3520,0
5,4.13952e+07,5.29127e+09,11760,3520,3
6,2.09019e+09,8.42699e+09,45360,46080,1
7,4.13952e+07,5.29127e+09,11760,3520,3
8,2.09019e+09,8.42699e+09,45360,46080,1
9,2.09019e+09,8.42849e+09,45360,46080,1
10,2.48371e+07,3.20109e+09,7056,3520,0
11,2.63424e+07,5.29127e+09,11760,2240,0
12,2.09019e+09,8.42849e+09,45360,46080,1
13,2.09019e+09,8.41193e+09,45360,46080,1
14,2.63424e+07,5.29127e+09,11760,2240,0
15,2.48371e+07,5.29127e+09,7056,3520,0
16,2.09019e+09,8.41344e+09,45360,46080,1
17,2.63424e+07,5.29127e+09,11760,2240,0
18,2.48371e+07,5.29127e+09,7056,3520,0
19,2.09019e+09,8.42699e+09,45360,46080,1
20,4.13952e+07,5.29127e+09,11760,3520,3
21,2.48371e+07,3.20109e+09,7056,3520,0
22,2.63424e+07,5.29127e+09,11760,2240,0
23,2.63424e+07,5.29127e+09,11760,2240,0
24,2.09019e+09,8.42849e+09,45360,46080,1
25,2.09019e+09,8.42849e+09,45360,46080,1
26,2.63424e+07,5.29127e+09,11760,2240,0
27,2.48371e+07,3.20109e+09,7056,3520,0
28,2.63424e+07,3.20109e+09,11760,2240,0
29,2.63424e+07,3.20109e+09,11760,2240,0
30,2.63424e+07,5.29127e+09,11760,2240,0
31,2.48371e+07,3.20109e+09,7056,3520,0
32,2.48371e+07,5.29127e+09,7056,3520,0
33,2.48371e+07,5.29127e+09,7056,3520,0
34,2.09019e+09,8.42699e+09,45360,46080,1
35,4.13952e+07,5.29127e+09,11760,3520,3
36,4.13952e+07,5.29127e+09,11760,3520,3
37,2.09019e+09,8.41193e+09,45360,46080,1
38,2.63424e+07,3.20109e+09,11760,2240,0
39,2.48371e+07,5.29127e+09,7056,3520,0
40,2.09019e+09,8.41344e+09,45360,46080,1
41,2.09019e+09,8.42699e+09,45360,46080,1
42,2.09019e+09,8.42699e+09,45360,46080,1
43,4.13952e+07,5.29127e+09,11760,3520,3
44,2.09019e+09,8.42849e+09,45360,46080,1
45,2.48371e+07,5.29127e+09,7056,3520,0
46,4.13952e+07,5.29127e+09,11760,3520,3
47,2.09019e+09,8.42699e+09,45360,46080,1
48,4.13952e+07,5.29127e+09,11760,3520,3
49,2.09019e+09,8.42699e+09,45360,46080,1
50,2.09019e+09,8.42849e+09,45360,46080,1
51,2.09019e+09,8.42699e+09,45360,46080,1
52,2.09019e+09,8.42699e+09,45360,46080,1
53,2.09019e+09,8.42699e+09,45360,46080,1
54,2.09019e+09,8.41193e+09,45360,46080,1
55,4.13952e+07,5.29127e+09,11760,3520,3
56,2.63424e+07,3.20109e+09,11760,2240,0
57,2.09019e+09,8.42699e+09,45360,46080,1
58,2.63424e+07,5.29127e+09,11760,2240,0
59,2.09019e+09,8.41344e+09,45360,46080,1
60,2.09019e+09,8.42849e+09,45360,46080,1
61,2.09019e+09,8.41193e+09,45360,46080,1
62,4.13952e+07,5.29127e+09,11760,3520,3
63,2.09019e+09,8.41344e+09,45360,46080,1
64,2.09019e+09,8.42699e+09,45360,46080,1
65,2.09019e+09,8.42699e+09,45360,46080,1
66,2.48371e+07,5.29127e+09,7056,3520,0
67,4.13952e+07,5.29127e+09,11760,3520,3
