id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,38,16944
1,2,0,0,3,40,29944
2,2,0,0,3,40,51064
3,2,0,0,2,38,16944
4,2,0,1,1,6,67616
5,2,0,0,4,48,62560
6,2,0,0,2,13,11600
7,0,0,0,2,28,5184
8,2,0,1,5,45,81840
9,2,0,1,1,28,53168
10,2,0,1,5,45,85680
11,2,0,0,3,46,29568
12,0,1,0,1,6,0
13,0,0,1,3,58,44960
14,0,1,0,13,76,63352
15,0,0,1,2,16,61832
16,2,0,0,4,45,43616
17,2,0,0,2,13,11600
18,0,0,1,5,43,47520
19,2,0,1,2,30,38160
20,0,0,1,1,16,62312
21,2,0,1,2,30,40720
22,2,0,0,3,46,45088
23,2,0,0,4,45,63456
24,2,0,0,4,48,76800
25,0,0,1,5,43,47520
