id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,4.29005e+07,8.56558e+08,7056,6080,0
1,2.09019e+09,4.55675e+09,45360,46080,1
2,1.51281e+08,5.03694e+09,7056,21440,0
3,2.09019e+09,4.55675e+09,45360,46080,1
4,6.2496e+07,4.55073e+09,12600,4960,2
5,6.2496e+07,4.69674e+09,12600,4960,2
6,4.74163e+07,4.91194e+09,21168,2240,0
7,2.09019e+09,4.70126e+09,45360,46080,1
8,1.16364e+08,2.85412e+08,18648,6240,2
9,4.13952e+07,8.56558e+08,11760,3520,0
10,4.74163e+07,4.91194e+09,21168,2240,0
11,6.2496e+07,4.55224e+09,12600,4960,2
12,2.09019e+09,4.70126e+09,45360,46080,1
13,2.95788e+08,5.03694e+09,7056,41920,3
14,1.16364e+08,2.85412e+08,18648,6240,2
15,5.26848e+07,5.1533e+09,4704,11200,0
16,5.26848e+07,5.1533e+09,4704,11200,0
17,6.2496e+07,4.69524e+09,12600,4960,2
