id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,5.41901e+07,1.50528e+08,7056,7680,1
1,7.5264e+06,9.78432e+07,4704,1600,3
2,6.02112e+06,2.01708e+08,4704,1280,0
3,6.02112e+06,2.19771e+08,4704,1280,0
4,6.02112e+06,2.1375e+08,4704,1280,0
5,1.35475e+07,1.95686e+08,4704,2880,3
6,6.02112e+06,1.15907e+08,4704,1280,0
7,6.02112e+06,2.19771e+08,4704,1280,0
8,6.02112e+06,1.15907e+08,4704,1280,0
9,1.95686e+07,1.95686e+08,4704,4160,3
10,6.02112e+06,2.25792e+08,4704,1280,0
11,6.02112e+06,2.81487e+08,4704,1280,0
12,6.02112e+06,2.19771e+08,4704,1280,0
13,1.20422e+07,2.07729e+08,4704,2560,3
14,6.02112e+06,1.15907e+08,4704,1280,0
15,6.02112e+06,1.15907e+08,4704,1280,0
16,6.02112e+06,1.39991e+08,4704,1280,0
17,5.41901e+07,1.50528e+08,7056,7680,1
18,1.20422e+07,2.6794e+08,4704,2560,0
19,1.20422e+07,1.3397e+08,4704,2560,3
20,6.02112e+06,1.27949e+08,4704,1280,0
21,1.80634e+07,2.55898e+08,14112,1280,0
22,1.20422e+07,2.6794e+08,4704,2560,0
23,6.02112e+06,2.81487e+08,4704,1280,0
24,1.20422e+07,3.10088e+08,4704,2560,0
25,6.02112e+06,1.21928e+08,4704,1280,0
26,6.02112e+06,2.19771e+08,4704,1280,0
27,6.02112e+06,2.19771e+08,4704,1280,0
28,6.02112e+06,2.1375e+08,4704,1280,0
29,6.02112e+06,2.07729e+08,4704,1280,0
30,1.80634e+07,2.55898e+08,14112,1280,0
31,6.02112e+06,1.21928e+08,4704,1280,0
32,6.02112e+06,1.09885e+08,4704,1280,0
33,6.02112e+06,1.64076e+08,4704,1280,0
34,6.02112e+06,2.1375e+08,4704,1280,0
35,6.02112e+06,1.21928e+08,4704,1280,0
