id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,5,95,9824
1,2,0,0,4,82,13664
2,2,0,1,1,54,45288
3,0,0,0,6,123,6720
4,2,0,1,2,78,55512
5,2,0,0,4,87,23040
6,2,0,0,4,82,11744
7,2,0,1,2,78,55512
8,0,0,0,8,124,46944
9,0,0,0,2,54,4704
10,2,0,0,4,85,84064
11,2,0,1,8,136,47848
12,2,0,0,4,85,91744
13,0,0,0,4,84,7264
14,2,0,1,1,46,40168
15,2,0,0,4,87,10240
16,0,1,0,35,194,108800
17,2,0,0,4,82,11744
18,2,0,1,2,78,7264
19,2,0,0,4,85,18784
20,0,0,0,5,95,9824
21,0,1,0,37,188,108800
22,2,0,0,4,85,21344
23,0,0,0,4,88,7264
24,2,0,0,4,87,8544
25,2,0,1,2,78,9504
26,2,0,0,4,100,25824
27,0,0,0,4,84,7264
28,2,0,1,8,136,75368
29,0,0,0,2,54,4704
30,2,0,0,4,87,16224
31,0,0,0,5,95,9824
32,0,0,0,2,54,4704
33,0,0,0,5,95,9824
34,0,0,0,6,118,24544
35,0,0,0,2,54,4704
36,2,0,0,4,102,40224
37,0,0,0,4,102,7680
38,0,0,0,4,86,7264
39,2,0,0,4,82,9824
40,0,0,0,4,107,5440
41,0,0,0,6,118,10560
