id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,38,2560
1,0,0,0,6,57,25184
2,0,0,1,1,32,14752
3,0,0,0,4,51,5984
4,0,0,0,4,51,7264
5,0,0,0,5,57,8544
6,0,0,0,3,41,50040
7,2,0,1,1,29,13952
8,0,0,1,4,48,20768
9,0,0,0,4,51,7264
10,0,0,0,3,59,18224
11,0,1,0,15,99,48888
12,0,0,0,3,59,22384
13,2,0,0,2,27,6464
14,0,0,0,3,41,34360
15,0,0,1,1,20,10208
16,0,0,0,3,37,33992
17,2,0,0,2,36,7856
18,0,0,0,4,51,14944
19,0,1,0,21,119,51000
20,0,0,1,2,33,17568
21,0,0,1,2,34,18272
22,0,0,0,2,31,7904
23,0,0,0,5,57,8544
24,2,0,0,2,27,6464
25,0,0,0,5,60,38448
26,2,0,1,1,29,61144
27,0,0,0,2,38,2560
28,2,0,0,2,36,7856
29,0,0,0,6,58,20064
30,0,0,1,1,26,7264
31,0,0,0,4,58,22200
