id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,44,38776
1,0,0,0,7,63,83784
2,2,0,0,2,29,19056
3,0,0,0,7,46,84296
4,0,0,0,5,62,110616
5,0,0,0,3,34,54296
6,0,1,0,9,61,91480
7,0,0,0,4,30,83520
8,0,0,0,3,47,78600
9,0,1,0,14,87,121200
10,2,0,0,2,29,19056
11,0,0,0,3,26,53640
12,0,0,0,3,33,45976
13,0,0,1,6,61,80840
14,0,0,1,1,21,21464
15,2,0,0,2,34,31704
16,2,0,0,2,34,31704
17,0,0,1,2,37,33464
18,0,0,0,3,45,32936
19,0,0,0,5,60,124024
20,2,0,1,1,22,55304
21,0,0,0,2,34,19424
22,0,0,0,2,29,9128
23,2,0,1,1,22,16576
24,0,0,0,5,63,68984
25,0,0,1,6,61,68720
