id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.65581e+07,2.91272e+08,4704,3520,3
1,1.0537e+07,2.79982e+08,4704,2240,0
2,1.0537e+07,2.5364e+08,4704,2240,0
3,1.0537e+07,1.43754e+08,4704,2240,0
4,1.65581e+07,3.02561e+08,4704,3520,3
5,1.58054e+07,2.2805e+08,7056,2240,3
6,1.0537e+07,2.38587e+08,4704,2240,0
7,1.0537e+07,2.71703e+08,4704,2240,0
8,1.65581e+07,1.60312e+08,4704,3520,0
9,4.13952e+07,2.64177e+08,11760,3520,3
10,1.65581e+07,2.2805e+08,4704,3520,3
11,1.65581e+07,2.61166e+08,4704,3520,3
12,1.20422e+08,3.07077e+08,11760,10240,3
13,1.0537e+07,2.79982e+08,4704,2240,0
14,1.0537e+07,2.5364e+08,4704,2240,0
