id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,7.5264e+06,8.88115e+07,4704,1600,3
1,6.02112e+06,8.88115e+07,4704,1280,0
2,7.5264e+06,7.67693e+07,4704,1600,3
3,9.03168e+06,6.4727e+07,4704,1920,0
4,7.5264e+06,7.97798e+07,4704,1600,3
5,6.02112e+06,8.88115e+07,4704,1280,1
6,6.02112e+06,7.37587e+07,4704,1280,0
7,9.03168e+06,9.78432e+07,4704,1920,0
8,9.03168e+06,8.12851e+07,4704,1920,0
9,6.02112e+06,1.02359e+08,4704,1280,0
10,6.02112e+06,1.02359e+08,4704,1280,0
11,6.02112e+06,8.88115e+07,4704,1280,3
12,1.0537e+07,9.63379e+07,4704,2240,3
13,6.02112e+06,8.88115e+07,4704,1280,1
14,1.0537e+07,9.63379e+07,4704,2240,3
15,6.02112e+06,8.73062e+07,4704,1280,3
16,1.0537e+07,5.56954e+07,4704,2240,3
17,7.5264e+06,7.67693e+07,4704,1600,3
