id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,82,10896
1,0,0,0,2,82,11696
2,0,0,0,2,82,10896
3,0,0,0,2,80,11696
4,0,0,0,2,80,10896
5,0,0,0,2,80,11696
6,0,0,0,2,82,11696
7,0,0,0,2,82,10896
8,0,0,0,2,82,11696
9,2,0,1,6,122,135920
10,2,0,1,6,120,100168
11,2,0,1,6,122,118080
12,2,0,1,5,113,91736
13,2,0,1,6,122,74448
14,0,0,1,2,82,39056
15,0,0,0,2,80,10896
16,2,0,1,6,122,95688
17,0,0,1,2,82,39856
18,0,0,1,2,82,142904
19,0,0,0,2,82,11696
20,0,0,1,2,80,101112
21,0,0,1,2,80,82968
22,0,0,0,2,82,10896
23,2,0,1,5,113,111344
24,2,0,1,6,122,149536
25,2,0,1,6,122,156096
26,2,0,1,6,120,113760
27,0,0,0,2,82,10896
28,0,0,0,2,82,10896
29,0,1,0,32,204,108160
30,2,0,1,6,122,74176
31,0,0,1,2,82,83432
32,2,0,1,6,120,89568
33,2,0,1,6,120,88344
34,0,0,1,2,82,121736
35,0,0,0,2,82,11696
36,0,0,0,2,82,11696
37,2,0,1,6,122,131600
38,0,1,0,32,220,108160
39,2,0,1,5,113,69808
40,0,0,1,16,140,131488
41,0,0,1,2,82,144672
42,2,0,1,5,113,150920
