id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,4,42,7904
1,0,0,0,4,54,7680
2,0,0,0,4,46,7904
3,2,0,1,1,26,24592
4,2,0,1,4,78,32272
5,0,0,0,4,42,7904
6,2,0,0,4,52,26464
7,0,0,0,6,70,24544
8,2,0,1,4,78,32272
9,2,0,1,1,34,29712
10,0,1,0,17,92,53344
11,0,0,0,4,44,7904
12,2,0,1,2,38,27688
13,2,0,1,2,38,18280
14,0,0,0,4,59,5440
15,0,0,0,6,70,10560
16,0,1,0,15,90,51840
17,0,0,0,8,76,46944
18,0,0,0,6,75,6720
19,2,0,0,4,54,40224
20,2,0,1,2,38,13944
21,2,0,1,2,38,9768
