id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,44,47080
1,0,0,0,7,63,48688
2,2,0,0,2,29,14272
3,0,0,0,7,46,47504
4,0,0,0,5,62,29544
5,0,0,0,3,34,25152
6,0,1,0,9,61,59240
7,0,0,0,4,30,30952
8,0,0,0,3,47,34144
9,0,1,0,14,87,65408
10,2,0,0,2,29,14272
11,0,0,0,3,26,10304
12,0,0,0,3,33,42544
13,0,0,1,6,61,44264
14,0,0,1,1,21,9736
15,2,0,0,2,34,14592
16,2,0,0,2,34,14592
17,0,0,1,2,37,32224
18,0,0,0,3,45,10656
19,0,0,0,5,60,35464
20,2,0,1,1,22,12800
21,0,0,0,2,34,14936
22,0,0,0,2,29,33832
23,2,0,1,1,22,19832
24,0,0,0,5,63,65408
25,0,0,1,6,61,37744
