id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,82,22416
1,0,0,0,2,82,27056
2,0,0,0,2,82,22416
3,0,0,0,2,80,27056
4,0,0,0,2,80,22416
5,0,0,0,2,80,27056
6,0,0,0,2,82,27056
7,0,0,0,2,82,22416
8,0,0,0,2,82,27056
9,2,0,1,6,122,351816
10,2,0,1,6,120,327656
11,2,0,1,6,122,239856
12,2,0,1,5,113,437192
13,2,0,1,6,122,393624
14,0,0,1,2,82,116000
15,0,0,0,2,80,22416
16,2,0,1,6,122,369896
17,0,0,1,2,82,137776
18,0,0,1,2,82,116000
19,0,0,0,2,82,27056
20,0,0,1,2,80,204160
21,0,0,1,2,80,137616
22,0,0,0,2,82,22416
23,2,0,1,5,113,532336
24,2,0,1,6,122,292224
25,2,0,1,6,122,163856
26,2,0,1,6,120,211904
27,0,0,0,2,82,22416
28,0,0,0,2,82,22416
29,0,1,0,32,204,501760
30,2,0,1,6,122,159544
31,0,0,1,2,82,137616
32,2,0,1,6,120,263592
33,2,0,1,6,120,430312
34,0,0,1,2,82,116000
35,0,0,0,2,82,27056
36,0,0,0,2,82,27056
37,2,0,1,6,122,350056
38,0,1,0,32,220,522880
39,2,0,1,5,113,181832
40,0,0,1,16,140,512960
41,0,0,1,2,82,137616
42,2,0,1,5,113,422704
