id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,13,9728
1,2,0,0,2,13,10048
2,0,0,0,2,28,4704
3,2,0,0,2,38,14272
4,2,0,0,4,53,106064
5,0,0,1,5,43,52544
6,2,0,1,2,30,73576
7,2,0,0,2,38,14272
8,2,0,1,1,6,78592
9,2,0,1,2,30,76136
10,2,0,1,5,49,134160
11,0,0,1,3,58,81584
12,0,0,1,5,43,52544
13,2,0,1,5,49,135440
14,0,1,0,1,6,0
15,2,0,0,3,40,42056
16,2,0,0,3,40,63176
17,0,1,0,13,76,106224
18,2,0,1,1,28,80504
19,0,0,1,2,16,59040
20,2,0,0,3,50,59880
21,2,0,0,4,53,137584
22,2,0,0,4,48,68168
23,2,0,0,3,50,114440
24,2,0,0,4,48,121288
25,0,0,1,1,16,59040
