id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.99181e+07,4.29397e+09,6552,3040,2
1,1.99181e+07,4.32634e+09,6552,3040,2
2,1.99181e+07,4.29021e+09,6552,3040,2
3,3.52397e+07,8.62848e+07,9576,3680,2
4,2.09019e+09,4.29397e+09,45360,46080,1
5,1.50528e+07,2.45307e+08,11760,1280,0
6,1.12896e+07,2.45307e+08,7056,1600,0
7,7.90272e+07,4.42568e+09,7056,11200,3
8,1.58054e+07,4.46092e+09,7056,2240,0
9,4.29005e+07,4.42568e+09,7056,6080,0
10,1.50528e+07,4.38585e+09,11760,1280,0
11,2.09019e+09,4.28946e+09,45360,46080,1
12,1.58054e+07,4.46092e+09,7056,2240,0
13,3.52397e+07,8.62848e+07,9576,3680,2
14,1.99181e+07,4.3301e+09,6552,3040,2
15,2.09019e+09,4.32558e+09,45360,46080,1
16,1.0537e+07,4.38585e+09,4704,2240,0
17,2.09019e+09,4.3301e+09,45360,46080,1
