id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,5,95,11104
1,2,0,0,4,82,18784
2,2,0,1,1,54,56976
3,0,0,0,6,123,6720
4,2,0,1,2,78,67368
5,2,0,0,4,87,61344
6,2,0,0,4,82,14944
7,2,0,1,2,78,67368
8,0,0,0,8,124,46944
9,0,0,0,2,54,4704
10,2,0,0,4,85,31584
11,2,0,1,8,136,100712
12,2,0,0,4,85,41184
13,0,0,0,4,84,7904
14,2,0,1,1,46,51856
15,2,0,0,4,87,58144
16,0,1,0,35,194,131200
17,2,0,0,4,82,14944
18,2,0,1,2,78,7904
19,2,0,0,4,85,109024
20,0,0,0,5,95,11104
21,0,1,0,37,188,131200
22,2,0,0,4,85,112224
23,0,0,0,4,88,7904
24,2,0,0,4,87,61440
25,2,0,1,2,78,13608
26,2,0,0,4,100,26464
27,0,0,0,4,84,7904
28,2,0,1,8,136,74792
29,0,0,0,2,54,4704
30,2,0,0,4,87,71040
31,0,0,0,5,95,11104
32,0,0,0,2,54,4704
33,0,0,0,5,95,11104
34,0,0,0,6,118,24544
35,0,0,0,2,54,4704
36,2,0,0,4,102,40224
37,0,0,0,4,102,7680
38,0,0,0,4,86,7904
39,2,0,0,4,82,11104
40,0,0,0,4,107,5440
41,0,0,0,6,118,10560
