id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.99407e+09,6.13348e+09,44352,44960,1
1,1.01574e+09,3.04593e+09,31584,32160,1
2,1.99407e+09,5.08892e+09,44352,44960,1
3,1.99407e+09,3.04744e+09,44352,44960,1
4,1.01574e+09,3.06324e+09,31584,32160,1
5,1.20422e+07,1.01666e+10,4704,2560,3
6,2.25792e+07,4.13189e+09,4704,4800,3
7,6.02112e+06,5.14763e+09,4704,1280,0
8,1.20422e+07,1.61711e+10,4704,2560,3
9,1.20422e+07,1.01515e+10,4704,2560,3
10,6.02112e+06,5.14763e+09,4704,1280,0
11,6.02112e+06,7.14169e+09,4704,1280,0
12,2.9353e+07,1.01515e+10,7056,4160,3
13,7.5264e+06,4.04684e+09,4704,1600,0
14,1.99407e+09,6.13348e+09,44352,44960,1
15,1.99407e+09,5.08892e+09,44352,44960,1
16,6.02112e+06,7.14169e+09,4704,1280,0
17,2.40845e+07,8.13507e+09,4704,5120,3
18,7.5264e+06,4.04684e+09,4704,1600,0
19,1.01574e+09,3.04593e+09,31584,32160,1
20,7.5264e+06,2.25792e+07,4704,1600,3
21,7.5264e+06,8.12002e+09,4704,1600,3
22,1.01574e+09,3.06324e+09,31584,32160,1
23,1.99407e+09,3.04744e+09,44352,44960,1
