id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,28,5184
1,2,0,0,2,13,11600
2,0,0,1,5,43,88216
3,0,0,1,2,16,47520
4,2,0,0,4,48,40128
5,2,0,0,3,46,38848
6,2,0,1,5,45,131520
7,2,0,1,1,6,70344
8,0,0,1,1,16,48160
9,2,0,0,3,40,95776
10,2,0,1,5,45,134080
11,2,0,0,2,38,16944
12,0,1,0,13,76,214720
13,2,0,0,4,45,169088
14,0,0,1,3,58,113504
15,0,1,0,1,6,0
16,2,0,0,4,48,82528
17,2,0,0,4,45,156288
18,2,0,0,3,46,67968
19,2,0,0,2,13,11600
20,0,0,1,5,43,86536
21,2,0,1,2,30,77488
22,2,0,1,2,30,80048
23,2,0,0,3,40,52896
24,2,0,1,1,28,74712
25,2,0,0,2,38,16944
