id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,7.45114e+07,5.56954e+08,21168,3520,3
1,1.0537e+07,5.02011e+08,4704,2240,0
2,3.61267e+07,5.72759e+08,7056,5120,3
3,1.58054e+07,4.24489e+08,7056,2240,0
4,1.0537e+07,4.64379e+08,4704,2240,0
5,1.0537e+07,4.4481e+08,4704,2240,0
6,1.0537e+07,4.64379e+08,4704,2240,0
7,1.0537e+07,3.78578e+08,4704,2240,1
8,1.0537e+07,4.561e+08,4704,2240,0
9,1.0537e+07,4.23736e+08,4704,2240,0
10,1.0537e+07,4.33521e+08,4704,2240,0
11,4.8169e+07,5.82543e+08,4704,10240,3
12,1.0537e+07,4.75668e+08,4704,2240,0
13,1.0537e+07,4.561e+08,4704,2240,0
14,1.12896e+07,4.61368e+08,7056,1600,0
15,1.12896e+07,4.51396e+08,7056,1600,0
16,1.0537e+07,4.44058e+08,4704,2240,0
17,1.8816e+07,5.55448e+08,11760,1600,0
18,1.58054e+07,4.24489e+08,7056,2240,0
19,1.0537e+07,4.847e+08,4704,2240,0
20,1.12896e+07,4.25806e+08,7056,1600,0
21,1.8816e+07,3.89115e+08,11760,1600,0
22,1.65581e+07,4.80184e+08,4704,3520,3
23,1.58054e+07,4.98812e+08,7056,2240,0
24,1.0537e+07,4.62685e+08,4704,2240,0
25,1.0537e+07,4.60616e+08,4704,2240,0
26,7.90272e+07,5.23085e+08,7056,11200,3
27,1.0537e+07,4.38036e+08,4704,2240,0
28,1.12896e+07,4.62685e+08,7056,1600,0
29,1.12896e+07,4.62685e+08,7056,1600,0
30,1.65581e+07,7.74467e+08,4704,3520,3
31,1.58054e+07,5.55448e+08,7056,2240,0
32,1.50528e+07,3.78578e+08,11760,1280,1
33,1.65581e+07,5.04269e+08,4704,3520,3
34,1.0537e+07,4.75668e+08,4704,2240,0
35,1.0537e+07,4.40106e+08,4704,2240,0
36,1.58054e+07,4.38036e+08,7056,2240,0
37,1.0537e+07,4.38036e+08,4704,2240,0
38,1.12896e+07,5.09537e+08,7056,1600,0
39,3.61267e+07,4.561e+08,7056,5120,3
40,2.06976e+06,8.41075e+07,1176,1760,1
41,2.63424e+07,4.50831e+08,11760,2240,0
42,1.8816e+07,5.17816e+08,11760,1600,3
43,1.65581e+07,5.44159e+08,4704,3520,3
