id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,3,65,3200
1,0,0,0,2,62,6840
2,0,0,0,5,69,14528
3,2,0,0,3,65,11456
4,2,0,0,5,85,37456
5,2,0,0,3,65,6144
6,0,0,0,6,85,57536
7,2,0,0,5,85,34896
8,0,0,0,4,63,30856
9,2,0,0,6,102,79104
10,2,0,0,6,102,83424
11,0,0,0,2,47,30184
12,0,0,0,4,47,14368
13,0,1,0,23,152,64960
14,0,0,0,3,79,76704
15,2,0,1,2,51,36288
16,0,0,0,2,62,6944
17,2,0,1,2,64,32344
18,2,0,1,2,51,34048
19,0,1,0,21,149,91584
20,2,0,0,2,40,16560
21,0,0,0,2,43,32480
22,2,0,0,2,40,9672
23,0,0,0,3,48,38792
24,0,0,1,6,82,44432
25,0,0,0,6,90,64960
26,2,0,0,5,72,36288
27,2,0,1,2,64,25456
28,0,0,0,9,75,18144
29,0,0,0,4,68,46896
30,2,0,0,5,72,37536
31,0,0,1,3,59,92912
