id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,82,8976
1,0,0,0,2,82,11216
2,0,0,0,2,82,8976
3,0,0,0,2,80,11216
4,0,0,0,2,80,8976
5,0,0,0,2,80,11216
6,0,0,0,2,82,11216
7,0,0,0,2,82,8976
8,0,0,0,2,82,11216
9,2,0,1,6,122,66472
10,2,0,1,6,120,84072
11,2,0,1,6,122,101400
12,2,0,1,5,113,82536
13,2,0,1,6,122,116416
14,0,0,1,2,82,97992
15,0,0,0,2,80,8976
16,2,0,1,6,122,105240
17,0,0,1,2,82,101992
18,0,0,1,2,82,32656
19,0,0,0,2,82,11216
20,0,0,1,2,80,85040
21,0,0,1,2,80,73720
22,0,0,0,2,82,8976
23,2,0,1,5,113,99520
24,2,0,1,6,122,69464
25,2,0,1,6,122,85464
26,2,0,1,6,120,75984
27,0,0,0,2,82,8976
28,0,0,0,2,82,8976
29,0,1,0,32,204,98880
30,2,0,1,6,122,109856
31,0,0,1,2,82,28656
32,2,0,1,6,120,115776
33,2,0,1,6,120,98160
34,0,0,1,2,82,86656
35,0,0,0,2,82,11216
36,0,0,0,2,82,11216
37,2,0,1,6,122,74160
38,0,1,0,32,220,108176
39,2,0,1,5,113,95352
40,0,0,1,16,140,100480
41,0,0,1,2,82,50536
42,2,0,1,5,113,116640
