id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,2.75789e+07,2.2676e+08,9576,2880,2
1,3.38688e+07,4.69647e+08,7056,4800,0
2,4.29005e+07,5.24805e+08,7056,6080,3
3,6.09638e+07,4.69647e+08,7056,8640,3
4,3.38688e+07,4.69647e+08,7056,4800,0
5,3.38688e+07,4.69647e+08,7056,4800,0
6,3.38688e+07,4.69647e+08,7056,4800,0
7,2.75789e+07,2.2676e+08,9576,2880,2
8,4.29005e+07,5.24805e+08,7056,6080,3
9,4.29005e+07,5.24805e+08,7056,6080,3
10,3.38688e+07,4.69647e+08,7056,4800,0
11,4.29005e+07,5.24805e+08,7056,6080,3
12,3.38688e+07,4.69647e+08,7056,4800,0
13,3.38688e+07,4.69647e+08,7056,4800,0
