id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,72,6944
1,0,0,0,4,116,12384
2,0,0,0,2,67,4704
3,0,0,0,2,71,4704
4,0,0,0,4,116,12384
5,0,0,0,4,117,10464
6,0,0,0,4,117,10464
7,0,0,0,4,96,9184
8,0,0,0,4,116,12384
9,0,0,0,3,115,6944
10,0,0,0,2,67,4704
11,0,0,0,2,72,6944
12,2,0,1,4,96,52648
13,0,0,0,2,67,4704
14,0,0,0,2,72,6944
15,2,0,1,2,90,52648
16,2,0,0,4,96,39264
17,2,0,1,2,91,26712
18,0,0,1,2,90,16640
19,2,0,1,2,90,50408
20,2,0,1,4,94,35512
21,2,0,1,4,96,48168
22,2,0,1,2,91,18200
23,2,0,1,4,94,24224
24,2,0,0,4,96,39264
25,0,0,0,3,115,6944
26,2,0,1,2,91,56792
27,0,0,0,4,117,10464
28,0,0,0,4,96,9184
29,2,0,0,4,96,9184
30,0,0,0,4,117,10464
31,2,0,1,2,91,34280
32,0,1,0,42,214,100704
33,0,1,0,42,222,97088
34,2,0,1,4,96,35512
35,0,0,0,18,174,93024
36,2,0,1,2,90,33272
37,0,0,0,4,96,9184
38,2,0,1,4,96,23912
39,0,0,0,2,67,4704
40,2,0,0,4,96,9184
41,2,0,1,4,94,52648
42,2,0,1,2,90,21984
43,0,0,0,4,108,25824
44,0,0,0,4,96,9184
45,0,0,0,4,96,9184
46,0,0,0,4,96,9184
47,0,0,0,4,96,9184
48,0,0,0,2,71,4704
49,0,0,0,3,115,6944
50,0,0,0,2,72,6944
51,0,0,0,2,71,4704
52,0,0,0,3,115,6944
53,2,0,1,4,94,52648
54,0,0,0,4,96,9184
55,0,0,0,2,71,4704
56,0,0,0,4,116,12384
