id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.65581e+07,2.38587e+08,4704,3520,3
1,4.29005e+07,2.1375e+08,7056,6080,3
2,1.65581e+07,2.79229e+08,4704,3520,0
3,1.58054e+07,2.78477e+08,7056,2240,3
4,1.50528e+07,2.19018e+08,11760,1280,1
5,7.22534e+07,3.11593e+08,7056,10240,3
6,4.29005e+07,2.19018e+08,7056,6080,3
7,2.48371e+07,2.35576e+08,7056,3520,0
8,1.65581e+07,1.97192e+08,4704,3520,0
9,1.65581e+07,2.79229e+08,4704,3520,0
10,1.65581e+07,1.97192e+08,4704,3520,0
11,1.50528e+07,2.19018e+08,11760,1280,1
