id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.12896e+07,5.68243e+08,7056,1600,0
1,1.35475e+07,5.52599e+08,4704,2880,0
2,9.03168e+06,5.76361e+08,7056,1280,3
3,5.6448e+07,4.76582e+08,11760,4800,3
4,3.52397e+07,4.19113e+08,9576,3680,2
5,1.12896e+07,5.29859e+08,7056,1600,0
6,1.0838e+08,5.29859e+08,21168,5120,0
7,6.77376e+07,6.31465e+08,14112,4800,3
8,1.50528e+07,5.29859e+08,11760,1280,3
9,1.58054e+07,5.29859e+08,7056,2240,3
10,1.12896e+07,7.43608e+08,7056,1600,0
11,1.50528e+07,4.63465e+08,11760,1280,0
12,1.2096e+06,2.12621e+08,840,1440,1
13,7.5264e+06,4.13952e+08,4704,1600,3
14,9.03168e+07,8.00701e+08,11760,7680,3
15,1.35475e+07,4.25242e+08,4704,2880,0
16,1.12896e+07,4.13952e+08,7056,1600,0
17,9.03168e+06,5.76361e+08,7056,1280,0
18,7.15008e+07,5.88726e+08,11760,6080,3
19,1.67731e+07,1.49318e+08,6552,2560,2
20,1.2096e+06,1.49318e+08,840,1440,1
21,1.2096e+06,1.49318e+08,840,1440,1
22,5.79533e+07,4.75561e+08,25872,2240,0
23,1.2096e+06,2.05551e+08,840,1440,1
24,1.57248e+07,1.33513e+08,6552,2400,2
25,1.2096e+06,4.19113e+08,840,1440,1
26,1.12896e+07,5.29859e+08,7056,1600,0
27,1.2096e+06,4.19113e+08,840,1440,1
28,2.9353e+07,6.72e+08,7056,4160,3
29,1.35475e+07,4.13952e+08,7056,1920,0
30,1.57248e+07,1.33513e+08,6552,2400,2
31,1.2096e+06,2.05551e+08,840,1440,1
32,1.50528e+07,5.86145e+08,9408,1600,0
33,1.68591e+08,5.77167e+08,32928,5120,3
34,2.03213e+07,4.87872e+08,7056,2880,3
35,9.03168e+06,4.13952e+08,7056,1280,0
36,5.41901e+07,5.52599e+08,21168,2560,0
37,1.67731e+07,1.49318e+08,6552,2560,2
38,1.50528e+07,5.29859e+08,11760,1280,0
39,1.2096e+06,2.12621e+08,840,1440,1
40,3.52397e+07,4.19113e+08,9576,3680,2
