id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,40,12560
1,2,0,1,3,48,40360
2,2,0,0,2,30,1600
3,2,0,1,5,65,46896
4,0,0,0,2,19,7832
5,0,0,0,6,39,90008
6,0,0,1,2,38,26992
7,2,0,0,5,68,90960
8,2,0,1,5,65,77640
9,2,0,0,5,68,88720
10,0,0,0,6,68,107448
11,0,0,0,2,23,15944
12,2,0,0,2,40,12560
13,0,0,0,5,53,46016
14,0,0,0,2,32,8336
15,0,0,0,2,39,57648
16,0,0,1,4,50,22656
17,0,0,0,3,41,85400
18,0,1,0,11,76,108888
19,0,0,0,5,36,52792
20,0,0,0,2,28,19240
21,2,0,0,3,42,42520
22,0,0,0,5,28,27280
23,2,0,0,2,39,56608
24,0,0,0,2,23,8328
25,2,0,0,2,39,56608
26,0,0,0,5,48,42560
27,2,0,1,3,48,35880
28,0,0,0,2,34,49032
29,0,0,0,2,28,16720
30,0,1,0,16,106,97848
31,2,0,0,3,42,43480
32,0,0,0,2,42,3440
33,2,0,0,2,36,2240
34,0,0,0,4,47,34832
