id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,28,1600
1,0,0,0,5,57,16560
2,0,0,1,2,33,10464
3,2,0,0,2,24,1280
4,0,0,1,3,39,28336
5,0,0,0,5,25,30104
6,0,0,0,2,32,5280
7,0,0,0,3,27,6984
8,0,0,0,2,29,1936
9,0,1,0,6,45,33208
10,0,0,0,5,31,27128
11,0,0,0,2,31,17424
12,0,0,0,4,43,31608
13,0,0,0,3,28,11528
14,0,0,0,2,12,10464
15,0,0,0,2,31,2560
16,0,0,1,2,33,20256
17,0,0,0,2,29,1936
18,0,0,0,2,33,5144
19,0,0,1,2,33,9184
20,0,0,0,5,57,27504
21,0,1,0,12,77,30008
22,0,0,1,5,52,21696
23,0,0,0,5,36,22200
24,0,0,1,5,52,21192
25,0,0,0,2,32,5280
26,0,0,0,2,33,6424
