id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,53,2560
1,2,0,0,2,53,2880
2,2,0,0,2,53,2560
3,2,0,0,2,53,2880
4,0,0,1,4,50,29696
5,0,0,0,2,45,10464
6,0,0,0,2,53,12240
7,2,0,0,2,65,2560
8,0,0,0,2,65,11008
9,0,0,0,4,48,7264
10,0,0,1,8,96,53280
11,0,1,0,18,114,56272
12,0,0,1,8,96,53280
13,0,0,1,8,43,34400
14,2,0,1,2,43,35784
15,0,0,0,4,49,7264
16,2,0,0,2,52,7264
17,0,0,0,3,54,27632
18,2,0,0,2,33,32752
19,2,0,0,2,33,32432
20,0,0,0,2,49,13840
21,2,0,0,2,65,2880
22,0,0,0,5,69,12288
23,0,0,0,6,74,36544
24,0,0,0,2,53,18320
25,2,0,1,2,43,65864
26,0,0,0,2,29,17264
27,0,0,1,4,50,29864
28,2,0,0,2,52,7584
29,0,1,0,19,110,55744
30,0,0,1,4,30,30848
31,0,0,0,3,49,36272
