id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,5,95,13664
1,2,0,0,4,82,18784
2,2,0,1,1,54,69776
3,0,0,0,6,123,6720
4,2,0,1,2,78,81344
5,2,0,0,4,87,62400
6,2,0,0,4,82,18576
7,2,0,1,2,78,81344
8,0,0,0,8,124,46944
9,0,0,0,2,54,4704
10,2,0,0,4,85,36704
11,2,0,1,8,136,126936
12,2,0,0,4,85,50144
13,0,0,0,4,84,9184
14,2,0,1,1,46,64656
15,2,0,0,4,87,57920
16,0,1,0,35,194,155520
17,2,0,0,4,82,16224
18,2,0,1,2,78,11536
19,2,0,0,4,85,128224
20,0,0,0,5,95,13664
21,0,1,0,37,188,155520
22,2,0,0,4,85,132704
23,0,0,0,4,88,9184
24,2,0,0,4,87,73824
25,2,0,1,2,78,17344
26,2,0,0,4,100,27744
27,0,0,0,4,84,9184
28,2,0,1,8,136,94392
29,0,0,0,2,54,4704
30,2,0,0,4,87,87264
31,0,0,0,5,95,13664
32,0,0,0,2,54,4704
33,0,0,0,5,95,13664
34,0,0,0,6,118,24544
35,0,0,0,2,54,4704
36,2,0,0,4,102,40224
37,0,0,0,4,102,7680
38,0,0,0,4,86,9184
39,2,0,0,4,82,16016
40,0,0,0,4,107,5440
41,0,0,0,6,118,10560
