9,1
2,1
78,4
68,4
7,5
81,5
20,6
0,6
74,7
48,7
39,8
24,8
62,9
71,12
65,12
55,16
43,16
79,17
34,17
8,18
5,18
17,20
50,20
56,21
49,21
57,22
69,22
11,23
27,23
13,24
36,24
18,25
29,26
1,26
58,27
44,27
32,28
60,28
10,29
19,29
67,30
52,30
41,31
61,31
28,34
25,34
42,35
58,35
70,35
51,35
64,35
67,35
72,35
73,35
76,35
7,35
80,35
77,35
83,35
20,35
4,35
46,35
40,37
15,37
38,38
14,38
21,40
6,40
23,41
37,41
30,43
47,43
54,44
35,44
12,45
22,45
53,46
26,46
33,47
45,47
82,49
3,52
66,53
75,53
63,54
16,54
31,56
59,56
